SourceFile,ExifToolVersion,FileName,Directory,FileSize,FileModifyDate,FileAccessDate,FileInodeChangeDate,FilePermissions,FileType,FileTypeExtension,MIMEType,JFIFVersion,ResolutionUnit,XResolution,YResolution,ImageWidth,ImageHeight,EncodingProcess,BitsPerSample,ColorComponents,YCbCrSubSampling,ImageSize,Megapixels
photos/thumbs/465013542-351064.jpg,11.16,465013542-351064.jpg,photos/thumbs,2.6 kB,2020:05:17 10:49:36+01:00,2020:05:17 10:49:36+01:00,2020:05:17 10:49:36+01:00,rw-r--r--,JPEG,jpg,image/jpeg,1.01,None,1,1,150,100,"Baseline DCT, Huffman coding",8,3,YCbCr4:2:0 (2 2),150x100,0.015
photos/thumbs/dsc02186.jpg,11.16,dsc02186.jpg,photos/thumbs,5.4 kB,2020:05:17 10:49:37+01:00,2020:05:17 10:49:37+01:00,2020:05:17 10:49:37+01:00,rw-r--r--,JPEG,jpg,image/jpeg,1.01,None,1,1,113,150,"Baseline DCT, Huffman coding",8,3,YCbCr4:2:0 (2 2),113x150,0.017
photos/thumbs/05-4.jpg,11.16,05-4.jpg,photos/thumbs,6.5 kB,2020:05:17 10:49:35+01:00,2020:05:17 10:49:35+01:00,2020:05:17 10:49:35+01:00,rw-r--r--,JPEG,jpg,image/jpeg,1.01,None,1,1,113,150,"Baseline DCT, Huffman coding",8,3,YCbCr4:2:0 (2 2),113x150,0.017
photos/thumbs/20151221-dsc1873.jpg,11.16,20151221-dsc1873.jpg,photos/thumbs,9.0 kB,2020:05:17 10:49:35+01:00,2020:05:17 10:49:35+01:00,2020:05:17 10:49:35+01:00,rw-r--r--,JPEG,jpg,image/jpeg,1.01,None,1,1,150,99,"Baseline DCT, Huffman coding",8,3,YCbCr4:4:4 (1 1),150x99,0.015
photos/thumbs/20160717-birka-mamma--dsc2858.jpg,11.16,20160717-birka-mamma--dsc2858.jpg,photos/thumbs,9.8 kB,2020:05:17 10:49:35+01:00,2020:05:17 10:49:35+01:00,2020:05:17 10:49:35+01:00,rw-r--r--,JPEG,jpg,image/jpeg,1.01,None,1,1,150,99,"Baseline DCT, Huffman coding",8,3,YCbCr4:4:4 (1 1),150x99,0.015
photos/thumbs/dsc01583.jpg,11.16,dsc01583.jpg,photos/thumbs,13 kB,2020:05:17 10:49:36+01:00,2020:05:17 10:49:36+01:00,2020:05:17 10:49:36+01:00,rw-r--r--,JPEG,jpg,image/jpeg,1.01,None,1,1,139,150,"Baseline DCT, Huffman coding",8,3,YCbCr4:4:4 (1 1),139x150,0.021
photos/thumbs/-dsc0034-02.jpg,11.16,-dsc0034-02.jpg,photos/thumbs,9.4 kB,2020:05:17 10:49:36+01:00,2020:05:17 10:49:36+01:00,2020:05:17 10:49:36+01:00,rw-r--r--,JPEG,jpg,image/jpeg,1.01,None,1,1,150,100,"Baseline DCT, Huffman coding",8,3,YCbCr4:2:0 (2 2),150x100,0.015
photos/thumbs/-dsc0001-01.jpg,11.16,-dsc0001-01.jpg,photos/thumbs,11 kB,2020:05:17 10:49:36+01:00,2020:05:17 10:49:36+01:00,2020:05:17 10:49:36+01:00,rw-r--r--,JPEG,jpg,image/jpeg,1.01,None,1,1,150,99,"Baseline DCT, Huffman coding",8,3,YCbCr4:4:4 (1 1),150x99,0.015
photos/thumbs/20160712image20160712-2111325152.jpg,11.16,20160712image20160712-2111325152.jpg,photos/thumbs,5.4 kB,2020:05:17 10:49:35+01:00,2020:05:17 10:49:35+01:00,2020:05:17 10:49:35+01:00,rw-r--r--,JPEG,jpg,image/jpeg,1.01,None,1,1,92,150,"Baseline DCT, Huffman coding",8,3,YCbCr4:4:4 (1 1),92x150,0.014
photos/thumbs/20170527-dsc5280.jpg,11.16,20170527-dsc5280.jpg,photos/thumbs,12 kB,2020:05:17 10:49:36+01:00,2020:05:17 10:49:36+01:00,2020:05:17 10:49:36+01:00,rw-r--r--,JPEG,jpg,image/jpeg,1.01,None,1,1,100,150,"Baseline DCT, Huffman coding",8,3,YCbCr4:4:4 (1 1),100x150,0.015
photos/20160712image20160712-2111325152.jpg,11.16,20160712image20160712-2111325152.jpg,photos,122 kB,2020:05:16 23:07:59+01:00,2020:05:16 23:07:59+01:00,2020:05:16 23:07:59+01:00,rw-r--r--,JPEG,jpg,image/jpeg,1.01,None,1,1,442,720,"Baseline DCT, Huffman coding",8,3,YCbCr4:4:4 (1 1),442x720,0.318
photos/20170527-dsc5280.jpg,11.16,20170527-dsc5280.jpg,photos,144 kB,2020:05:17 10:49:34+01:00,2020:05:17 10:49:34+01:00,2020:05:17 10:49:34+01:00,rw-r--r--,JPEG,jpg,image/jpeg,1.01,None,1,1,478,720,"Baseline DCT, Huffman coding",8,3,YCbCr4:4:4 (1 1),478x720,0.344
